id,title,classification,verified_by,soc_code,soc_resolved_via,onet_occupation_title,job_zone,oes_employment,onet,careeronestop,bls_ooh,bls_oes,flags,note,primary_industry,source_url,created_at
004e473d-0260-4a99-bc09-9a20c62d37c9,Franchise Architect,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,13-1111.00,title_exact,Management Analysts,4,898280,yes,yes,yes,yes,,,Entrepreneurship,https://www.bls.gov/ooh/business-and-financial-operations/management-analysts.htm,2026-07-28T02:56:25.323996+00:00
004f67e0-5a02-4f7c-88a6-8cdc95682757,"DEI (Diversity, Equity, Inclusion) Consultant",VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,13-1111.00,onet_url,Management Analysts,4,898280,yes,yes,yes,yes,"industry: O*NET SOC 13-1111.00 maps to Business & Finance, row has Social Impact & Nonprofit",,Social Impact & Nonprofit,https://www.onetonline.org/link/summary/13-1111.00,2026-05-14T02:12:04.12808+00:00
0053ee65-e2ab-4286-858a-75373957aab7,Skincare Formulation Chemist,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,19-2031.00,onet_url,Chemists,4,82770,yes,yes,yes,yes,,,Fashion & Beauty,https://www.onetonline.org/link/summary/19-2031.00,2026-04-29T01:59:04.103263+00:00
00569d8d-4870-4e66-9747-bb12e5d95c44,Pop-Up Shop Operator,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,11-3051.00,onet_url,Industrial Production Managers,4,246250,yes,yes,yes,yes,"requirements: text implies level 1, O*NET Job Zone 4 implies 3",,Supply Chain & Operations,https://www.onetonline.org/link/summary/11-3051.00,2026-04-22T02:52:30.264317+00:00
00609ddc-e454-4627-8540-b504d5a269ad,Language Immersion Teacher,UNVERIFIABLE,,,,,,,no,no,no,no,,"bls.gov OOH slug ""high-school-teachers"" matches no O*NET occupation title",Education & Coaching,https://www.bls.gov/ooh/education-and-training/high-school-teachers.htm,2026-07-19T03:25:46.096737+00:00
00699704-0a94-4c21-a443-eeedc23a38dc,Freelance Grant Writer,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-3043.00,onet_base,Writers and Authors,4,47940,yes,yes,yes,yes,"industry: O*NET SOC 27-3043.00 maps to Media & Journalism, row has Entrepreneurship",,Entrepreneurship,https://www.onetonline.org/link/summary/27-3043.04,2026-07-11T03:18:45.770051+00:00
00751f56-4d4b-4955-98fb-a35025db1d8c,Pharmacologist,UNVERIFIABLE,,,,,,,no,no,no,no,,"bls.gov OOH slug ""pharmacologists-and-toxicologists"" matches no O*NET occupation title",Healthcare & Medicine,https://www.bls.gov/ooh/life-physical-and-social-science/pharmacologists-and-toxicologists.htm,2026-04-22T02:52:32.086589+00:00
008b8d6a-1a1a-496f-8845-be82b51d4a1a,AI Automation Consultant Entrepreneur,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,11-1011.00,onet_url,Chief Executives,5,204350,yes,yes,yes,yes,,,Entrepreneurship,https://www.onetonline.org/link/summary/11-1011.00,2026-06-02T02:37:27.814173+00:00
008c2367-4b26-4bfb-8804-282127081405,Subtitle Editor (Video),VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OES,27-4032.00,onet_url,Film and Video Editors,4,25610,yes,yes,no,yes,"requirements: text implies level 1, O*NET Job Zone 4 implies 3",,Media & Journalism,https://www.onetonline.org/link/summary/27-4032.00,2026-04-29T02:01:09.045575+00:00
009d9f85-84b9-4386-be96-c19106168abd,Grant Journalist,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-3023.00,onet_url,"News Analysts, Reporters, and Journalists",4,39250,yes,yes,yes,yes,,,Media & Journalism,https://www.onetonline.org/link/summary/27-3023.00,2026-04-25T06:07:36.446723+00:00
00a8d4cf-ad9a-4dd1-b4ab-ac704247c634,Microfinance Officer,VERIFIED,O*NET+CareerOneStop+BLS OES,13-2072.00,onet_url,Loan Officers,4,274330,yes,yes,no,yes,,,Social Impact & Nonprofit,https://www.onetonline.org/link/summary/13-2072.00,2026-05-29T02:07:30.631759+00:00
00ac3060-37af-4e72-a50a-74089f470433,Public Realm Activation Manager,VERIFIED BUT FLAGGED,O*NET+BLS OES,11-9199.00,onet_url,"Managers, All Other",,622190,yes,no,no,yes,"industry: O*NET SOC 11-9199.00 maps to Business & Finance, row has Architecture & Urban Planning",,Architecture & Urban Planning,https://www.onetonline.org/link/summary/11-9199.00,2026-08-16T01:42:01.758224+00:00
00c6f194-1b4a-42af-a6a4-bcf6f446a21c,Screenwriter,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-3043.00,title_exact,Writers and Authors,4,47940,yes,yes,yes,yes,,,Gaming & Esports,https://www.bls.gov/ooh/entertainment-and-sports/writers-and-authors.htm,2026-04-22T02:52:29.856816+00:00
00c73946-7f9a-4ded-b707-bfe0d8d2c76f,Movement Coach,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2012.00,onet_base,Producers and Directors,4,143120,yes,yes,yes,yes,"industry: O*NET SOC 27-2012.00 maps to Media & Journalism, row has Sports & Fitness",,Sports & Fitness,https://www.onetonline.org/link/summary/27-2012.02,2026-04-22T02:52:31.660242+00:00
00cae14e-f12a-43f4-b4ed-fac3c7510ce7,Pitch Coach (Startup),VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,13-1151.00,onet_url,Training and Development Specialists,4,458300,yes,yes,yes,yes,,,Entrepreneurship,https://www.onetonline.org/link/summary/13-1151.00,2026-07-02T04:03:11.603661+00:00
00cb3107-023f-491b-aefe-c22a5902559c,Food Service Director (Healthcare),VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,11-9051.00,onet_url,Food Service Managers,,238430,yes,yes,yes,yes,,,Hospitality & Events,https://www.onetonline.org/link/summary/11-9051.00,2026-06-08T02:37:47.042906+00:00
00cf794c-9cbb-4b61-8692-78f384b8f86a,Long-Form Editor,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-3041.00,onet_url,Editors,4,91690,yes,yes,yes,yes,,,Media & Journalism,https://www.onetonline.org/link/summary/27-3041.00,2026-06-12T02:33:10.588822+00:00
00d3fc80-e042-43ad-beef-48e72022f750,Guest Experience Manager (Luxury Resort),VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OES,11-1021.00,title_partial,General and Operations Managers,4,3503020,yes,yes,no,yes,"requirements: text implies level 1, O*NET Job Zone 4 implies 3; SOC resolved only by partial title match — confirm the occupation is right",,Hospitality & Events,https://www.bls.gov/ooh/management/general-managers-and-operations-managers.htm,2026-06-04T02:40:02.002928+00:00
00de0f34-d825-4bb9-9d62-02e5a638b432,Street Performer Entertainer,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2042.00,onet_base,Musicians and Singers,4,36180,yes,yes,yes,yes,"requirements: text implies level 1, O*NET Job Zone 4 implies 3",,Arts & Performance,https://www.onetonline.org/link/summary/27-2042.01,2026-05-10T01:54:43.772084+00:00
00def351-0e8f-406d-af66-42050345c764,Defense Attorney,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,23-1011.00,onet_url,Lawyers,5,754500,yes,yes,yes,yes,,,Social Impact & Nonprofit,https://www.onetonline.org/link/summary/23-1011.00,2026-04-22T02:52:29.206458+00:00
00e56714-3c19-4e01-9c32-a0f883dfdfde,Radiologist,VERIFIED,O*NET+CareerOneStop+BLS OES,29-1224.00,title_exact,Radiologists,5,26770,yes,yes,no,yes,,,Healthcare & Medicine,https://www.bls.gov/ooh/healthcare-practitioners-and-technical-occupations/radiologists.htm,2026-04-22T02:52:29.646164+00:00
00e8b498-0506-4baf-bc94-342bb9134d44,Virtual Production Supervisor,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2012.00,onet_url,Producers and Directors,4,143120,yes,yes,yes,yes,,,Arts & Performance,https://www.onetonline.org/link/summary/27-2012.00,2026-06-03T02:45:15.458079+00:00
00ef9938-9c88-4c9c-9197-093e59b9bcea,Costume Designer,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-1022.00,onet_url,Fashion Designers,3,21450,yes,yes,yes,yes,"industry: O*NET SOC 27-1022.00 maps to Fashion & Beauty, row has Sports & Fitness",,Sports & Fitness,https://www.onetonline.org/link/summary/27-1022.00,2026-04-22T02:52:30.47108+00:00
00f1c614-3610-4937-aa86-716e85360108,Payroll Specialist,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OES,43-3051.00,title_partial,Payroll and Timekeeping Clerks,3,153140,yes,yes,no,yes,SOC resolved only by partial title match — confirm the occupation is right,,Business & Finance,https://www.bls.gov/ooh/office-and-administrative-support/payroll-clerks.htm,2026-04-22T02:52:33.86077+00:00
010271d5-6da0-402f-ba31-8a7270ba5b87,Angel Investor Consultant,VERIFIED,O*NET+BLS OES,13-1199.00,onet_base,"Business Operations Specialists, All Other",,1087090,yes,no,no,yes,,,Entrepreneurship,https://www.onetonline.org/link/summary/13-1199.01,2026-05-30T02:03:29.331201+00:00
0106bb1b-fb69-4a51-a288-a1b37f295331,Equity Researcher,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,13-2051.00,onet_url,Financial and Investment Analysts,4,361980,yes,yes,yes,yes,,,Business & Finance,https://www.onetonline.org/link/summary/13-2051.00,2026-04-22T02:52:29.422718+00:00
010a9d3c-0b87-4e34-8d32-af4c182b6a9f,Human Rights Researcher,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,19-3094.00,onet_url,Political Scientists,5,5540,yes,yes,yes,yes,,,Social Impact & Nonprofit,https://www.onetonline.org/link/summary/19-3094.00,2026-04-22T02:52:30.655222+00:00
010e8c08-6261-49b6-99ac-c56d518cdc8c,Entertainment Publicist,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-3031.00,onet_url,Public Relations Specialists,4,283380,yes,yes,yes,yes,"industry: O*NET SOC 27-3031.00 maps to Marketing & Communications, row has Media & Journalism",,Media & Journalism,https://www.onetonline.org/link/summary/27-3031.00,2026-05-31T02:29:54.06949+00:00
0119f18e-5d8f-45aa-b213-20fff9f11ee9,Comics Cartoonist,VERIFIED,O*NET+CareerOneStop+BLS OES,27-1013.00,onet_url,"Fine Artists, Including Painters, Sculptors, and Illustrators",3,11220,yes,yes,no,yes,,,Media & Journalism,https://www.onetonline.org/link/summary/27-1013.00,2026-04-29T02:01:12.402744+00:00
0123ebdf-1f40-4655-bfc3-13f1f6e396d2,Executive Sous Chef,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,35-1011.00,onet_url,Chefs and Head Cooks,3,200040,yes,yes,yes,yes,"industry: O*NET SOC 35-1011.00 maps to Food & Culinary, row has Hospitality & Events",,Hospitality & Events,https://www.onetonline.org/link/summary/35-1011.00,2026-06-29T04:28:19.500571+00:00
012682f1-febd-47f1-b406-74429a2e2791,Climate Adaptation Strategist,VERIFIED,O*NET+CareerOneStop+BLS OES,19-2041.01,onet_url,Climate Change Policy Analysts,5,89250,yes,yes,no,yes,,,Environment & Sustainability,https://www.onetonline.org/link/summary/19-2041.01,2026-05-22T02:15:02.353099+00:00
01357349-64d2-46da-b94b-bcb7536fff71,Agility Coach,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,39-9031.00,onet_url,Exercise Trainers and Group Fitness Instructors,3,322930,yes,yes,yes,yes,,,Sports & Fitness,https://www.onetonline.org/link/summary/39-9031.00,2026-04-22T02:52:29.422718+00:00
014b1891-0482-4550-818c-597ed98f1b09,Acquisitions Manager (Art Gallery),VERIFIED,O*NET+BLS OES,11-9199.00,onet_url,"Managers, All Other",,622190,yes,no,no,yes,,,Arts & Performance,https://www.onetonline.org/link/summary/11-9199.00,2026-04-24T06:30:04.880891+00:00
014cf41b-053a-4f5b-8d81-bae6c0627b83,Publishing Rights Attorney,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,23-1011.00,onet_url,Lawyers,5,754500,yes,yes,yes,yes,,,Media & Journalism,https://www.onetonline.org/link/summary/23-1011.00,2026-05-12T02:01:36.135538+00:00
01597a8b-260c-46a8-aae9-6d21afca76d4,Golf Instructor (PGA),VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2022.00,onet_url,Coaches and Scouts,4,248950,yes,yes,yes,yes,,,Sports & Fitness,https://www.onetonline.org/link/summary/27-2022.00,2026-06-01T02:42:01.169487+00:00
0159e2fa-1b80-46f6-a1ca-af71a29fcaee,Laboratory Equipment Technician,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,49-9062.00,onet_url,Medical Equipment Repairers,3,65990,yes,yes,yes,yes,,,Science & Research,https://www.onetonline.org/link/summary/49-9062.00,2026-04-22T02:52:29.206458+00:00
01635b04-ee65-4226-ad82-d63b678f1e96,Sustainability-Focused Interior Designer,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-1025.00,onet_url,Interior Designers,4,71500,yes,yes,yes,yes,,,Design & Creative,https://www.onetonline.org/link/summary/27-1025.00,2026-04-28T07:57:12.291884+00:00
016e258f-958c-4da0-b145-fbe2d16eab32,Tattoo Artist,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OES,27-1013.00,onet_url,"Fine Artists, Including Painters, Sculptors, and Illustrators",3,11220,yes,yes,no,yes,"industry: O*NET SOC 27-1013.00 maps to Arts & Performance, row has Science & Research",,Science & Research,https://www.onetonline.org/link/summary/27-1013.00,2026-04-22T02:52:31.845128+00:00
017a7366-d430-4a11-a0b3-b0cebf4b8b73,Media Accessibility Auditor,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-3091.00,onet_url,Interpreters and Translators,4,52060,yes,yes,yes,yes,,,Media & Journalism,https://www.onetonline.org/link/summary/27-3091.00,2026-08-12T02:27:46.857274+00:00
01820c71-7052-4f4d-a81b-7e8709d76c94,Adaptive Infrastructure Planner,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,19-3051.00,onet_url,Urban and Regional Planners,5,44230,yes,yes,yes,yes,,,Architecture & Urban Planning,https://www.onetonline.org/link/summary/19-3051.00,2026-08-18T01:35:12.760028+00:00
0183ebc1-4739-4954-83c6-25a15f07368c,GIS Developer,VERIFIED,O*NET+CareerOneStop+BLS OES,15-1255.00,onet_url,Web and Digital Interface Designers,4,113330,yes,yes,no,yes,,,Tech & Engineering,https://www.onetonline.org/link/summary/15-1255.00,2026-05-14T02:12:23.322741+00:00
018aca9b-9915-4717-b2c2-d16cdc532796,Podcast Network Director,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2012.00,title_exact,Producers and Directors,4,143120,yes,yes,yes,yes,,,Media & Journalism,https://www.bls.gov/ooh/media-and-communication/producers-and-directors.htm,2026-07-15T02:53:11.244202+00:00
0193aff6-4c2b-4783-bfa2-d753d1ec2225,Disability Services Coordinator,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OES,21-1094.00,onet_url,Community Health Workers,4,61660,yes,yes,no,yes,"industry: O*NET SOC 21-1094.00 maps to Healthcare & Medicine, row has Social Impact & Nonprofit",,Social Impact & Nonprofit,https://www.onetonline.org/link/summary/21-1094.00,2026-04-22T02:52:33.675655+00:00
0199354d-df54-4179-a0af-967b60701388,Chief Technology Officer (CTO),VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OES,11-1021.00,onet_url,General and Operations Managers,4,3503020,yes,yes,no,yes,"industry: O*NET SOC 11-1021.00 maps to Business & Finance, row has Cybersecurity",,Cybersecurity,https://www.onetonline.org/link/summary/11-1021.00,2026-04-22T02:52:34.465719+00:00
01998b5e-b01c-4317-9eff-f0f7428f5b03,Chemist (Chemical Research),VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,19-2031.00,onet_url,Chemists,4,82770,yes,yes,yes,yes,"requirements: text implies level 5, O*NET Job Zone 4 implies 3",,Science & Research,https://www.onetonline.org/link/summary/19-2031.00,2026-05-13T02:07:13.731227+00:00
019ce137-ef4f-444c-a80e-d7b894b6eaac,Wig and Hair Technician,VERIFIED,O*NET+CareerOneStop+BLS OES,39-5012.00,onet_url,"Hairdressers, Hairstylists, and Cosmetologists",3,305710,yes,yes,no,yes,,,Fashion & Beauty,https://www.onetonline.org/link/summary/39-5012.00,2026-04-22T02:52:32.271017+00:00
01a01cd2-d74c-4992-be47-9034e3ff8f2c,Water Conservation Specialist,UNVERIFIABLE,,,,,,,no,no,no,no,,"cited SOC 19-4091.00 is not in the O*NET taxonomy, and neither is its base",Gaming & Esports,https://www.onetonline.org/link/summary/19-4091.00,2026-04-22T02:52:32.496342+00:00
01afc0f0-44a7-47aa-b696-b49b7398769b,Nonprofit Finance Manager,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,13-2051.00,title_partial,Financial and Investment Analysts,4,361980,yes,yes,yes,yes,"industry: O*NET SOC 13-2051.00 maps to Business & Finance, row has Gaming & Esports; SOC resolved only by partial title match — confirm the occupation is right",,Gaming & Esports,https://www.bls.gov/ooh/business-and-financial-operations/financial-analysts.htm,2026-04-22T02:52:34.239097+00:00
01afd1f1-846d-48f1-be87-7cd1a81d8ee1,Factoring Company Manager,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,11-3031.00,title_exact,Financial Managers,4,841710,yes,yes,yes,yes,,,Business & Finance,https://www.bls.gov/ooh/business-and-financial-operations/financial-managers.htm,2026-04-26T06:29:53.776981+00:00
01cc3635-2402-491d-bc82-6cf161e5ebf0,Digital Performance Artist,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2042.00,onet_base,Musicians and Singers,4,36180,yes,yes,yes,yes,,,Arts & Performance,https://www.onetonline.org/link/summary/27-2042.01,2026-04-27T07:57:40.428066+00:00
01d143bc-477d-4133-a0da-48a1bd3d8f7a,Biohacking Performance Consultant,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,29-1127.00,onet_url,Speech-Language Pathologists,5,183390,yes,yes,yes,yes,,,Sports & Fitness,https://www.onetonline.org/link/summary/29-1127.00,2026-08-16T01:43:34.994695+00:00
01dc273a-00e3-411f-8957-a6b3f5ae51fe,Wheelchair Athlete Coach,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2022.00,onet_url,Coaches and Scouts,4,248950,yes,yes,yes,yes,,,Sports & Fitness,https://www.onetonline.org/link/summary/27-2022.00,2026-06-06T02:08:04.660378+00:00
01f56853-22ef-432d-8baa-989ea161be47,Copy Editor,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-3041.00,onet_url,Editors,4,91690,yes,yes,yes,yes,,,Media & Journalism,https://www.onetonline.org/link/summary/27-3041.00,2026-04-22T02:52:33.477982+00:00
01fe9c88-fc5b-47f9-99c6-49adb38591d8,Biodiversity Consultant,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,19-2041.00,onet_url,"Environmental Scientists and Specialists, Including Health",4,89250,yes,yes,yes,yes,,,Environment & Sustainability,https://www.onetonline.org/link/summary/19-2041.00,2026-04-28T07:57:43.564524+00:00
02000c7d-ced9-4cb7-9b3f-f7d1cc58859a,Outdoor Adventure Educator,UNVERIFIABLE,,,,,,,no,no,no,no,,"cited SOC 27-3121.00 is not in the O*NET taxonomy, and neither is its base",Education & Coaching,https://www.onetonline.org/link/summary/27-3121.00,2026-06-23T04:03:08.154362+00:00
0206958b-fd2c-4b07-b665-773826c9bac4,Interactive Designer (Web),VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,15-1254.00,title_exact,Web Developers,3,70190,yes,yes,yes,yes,,,Design & Creative,https://www.bls.gov/ooh/arts-and-design/web-developers.htm,2026-06-26T04:12:52.06712+00:00
020a92e9-92cc-4693-ad3a-2f63ceae6d81,Performance Video Director,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2012.00,onet_url,Producers and Directors,4,143120,yes,yes,yes,yes,,,Arts & Performance,https://www.onetonline.org/link/summary/27-2012.00,2026-05-03T01:51:21.17392+00:00
020c46e2-8786-43ad-b05e-4fa90531024a,Resort Operations Manager,UNVERIFIABLE,,,,,,,no,no,no,no,,"bls.gov OOH slug ""general-managers-and-top-executives"" matches no O*NET occupation title",Hospitality & Events,https://www.bls.gov/ooh/management/general-managers-and-top-executives.htm,2026-05-13T02:06:48.124305+00:00
0214a679-0822-44bc-b511-1ea770f43438,Tutor (Private),VERIFIED,O*NET+CareerOneStop+BLS OES,25-3041.00,onet_url,Tutors,3,175070,yes,yes,no,yes,,,Education & Coaching,https://www.onetonline.org/link/summary/25-3041.00,2026-06-21T02:41:37.916192+00:00
0219f8c8-3cca-4b03-8905-62559ffb94c4,Multimodal Transportation Planner,VERIFIED BUT FLAGGED,O*NET+BLS OES,19-3099.00,onet_url,"Social Scientists and Related Workers, All Other",,37100,yes,no,no,yes,"industry: O*NET SOC 19-3099.00 maps to Science & Research, row has Aviation & Transportation",,Aviation & Transportation,https://www.onetonline.org/link/summary/19-3099.00,2026-08-13T02:25:24.785884+00:00
021ea5f4-0e6c-46ee-8253-937d650f5ece,Grant Program Officer,VERIFIED,O*NET+CareerOneStop+BLS OES,13-1041.08,onet_url,Customs Brokers,3,417070,yes,yes,no,yes,,,Social Impact & Nonprofit,https://www.onetonline.org/link/summary/13-1041.08,2026-05-07T01:57:52.484082+00:00
02286f51-7976-4598-84f6-7ee89a140fcb,Food and Beverage Director,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,11-9051.00,onet_url,Food Service Managers,,238430,yes,yes,yes,yes,"industry: O*NET SOC 11-9051.00 maps to Food & Culinary, row has Supply Chain & Operations",,Supply Chain & Operations,https://www.onetonline.org/link/summary/11-9051.00,2026-04-22T02:52:31.20659+00:00
022e179a-3e2d-4065-acee-fdff931ab381,Social Media Editor (News Organization),VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-3023.00,title_exact,"News Analysts, Reporters, and Journalists",4,39250,yes,yes,yes,yes,,,Media & Journalism,https://www.bls.gov/ooh/media-and-communication/news-analysts-reporters-and-journalists.htm,2026-04-25T06:07:33.027205+00:00
02314700-2597-4840-8772-b109f55ad95c,Veterinary Pathologist,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OES,29-1131.00,title_exact,Veterinarians,5,83900,yes,yes,no,yes,"industry: O*NET SOC 29-1131.00 maps to Healthcare & Medicine, row has Environment & Sustainability",,Environment & Sustainability,https://www.bls.gov/ooh/life-physical-social-science/veterinarians.htm,2026-04-22T02:52:32.271017+00:00
02332ff3-3052-4dbd-a565-9744015e8eed,University Professor,VERIFIED,O*NET+BLS OOH+BLS OES,25-1199.00,title_exact,"Postsecondary Teachers, All Other",,149840,yes,no,yes,yes,,,Education & Coaching,https://www.bls.gov/ooh/education-and-training/postsecondary-teachers.htm,2026-04-22T02:52:30.082186+00:00
024bfc17-46ed-4ee1-90ec-cd0da8401d3f,Puppet Designer (Theatre),VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-1027.00,onet_url,Set and Exhibit Designers,5,10630,yes,yes,yes,yes,,,Arts & Performance,https://www.onetonline.org/link/summary/27-1027.00,2026-04-22T02:52:29.206458+00:00
025089e3-a325-4015-93a7-0b511802f070,Watershed Manager,VERIFIED,O*NET+CareerOneStop+BLS OES,19-1031.03,onet_url,Park Naturalists,4,25950,yes,yes,no,yes,,,Environment & Sustainability,https://www.onetonline.org/link/summary/19-1031.03,2026-04-22T02:52:33.675655+00:00
02549d8a-8676-485d-9451-2279ed3e87f9,Mathematics Tutor (Secondary),VERIFIED,O*NET+CareerOneStop+BLS OES,25-3041.00,onet_url,Tutors,3,175070,yes,yes,no,yes,,,Education & Coaching,https://www.onetonline.org/link/summary/25-3041.00,2026-05-12T02:00:59.212967+00:00
