id,name,old_source_url,new_source_url,soc_code,occupation,confidence
02549d8a-8676-485d-9451-2279ed3e87f9,Mathematics Tutor (Secondary),https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,https://www.onetonline.org/link/summary/25-2031.00,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",hand-verified
026daab1-c21e-430c-9c5a-b15e9b3d5b75,Computer Network Architect,https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm,https://www.onetonline.org/link/summary/15-1244.00,15-1244.00,Network and Computer Systems Administrators,auto
02e3c2d5-87c7-414c-804e-5e5740447cb5,Mine Reclamation Engineer,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,https://www.onetonline.org/link/summary/17-2081.00,17-2081.00,Environmental Engineers,auto
0301c5b6-5f9f-4ca6-95ac-6fe927d4c0d4,Ecosystem Restoration Ecologist,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,https://www.onetonline.org/link/summary/19-2041.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",auto
038f9275-f1f2-46ec-b939-910443287b53,Adjunct College Professor,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,https://www.onetonline.org/link/summary/25-1199.00,25-1199.00,"Postsecondary Teachers, All Other",auto
03a7fb8f-a21a-4a4e-bfe3-4bb4cb7fdd49,Visual Data Journalist,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
03b58e2c-7e89-4860-93a3-17a3d818aa56,Deputy District Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
03fc9c76-f144-4284-aa8b-bb14f270cc7f,Immigrant Rights Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
041e2f8f-fa00-401e-9c7f-f2b708f3980a,Pollution Control Specialist,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,https://www.onetonline.org/link/summary/19-2041.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",auto
043aabc3-d60c-4ab3-bad1-da2222b34fa1,Copyright Lawyer,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
047a06fe-d425-48db-b5de-f07ed58ab7c1,Basketball Coach (Professional),https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,https://www.onetonline.org/link/summary/27-2022.00,27-2022.00,Coaches and Scouts,auto
04965e20-a499-44cd-9b9c-7103dd8544e3,Public Health Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
04dfa51a-ad8a-4ff5-8851-53221798c335,Hybrid Events Startup Founder,https://www.bls.gov/ooh/management/top-executives.htm,https://www.onetonline.org/link/summary/11-1011.00,11-1011.00,Chief Executives,hand-verified
0534148f-e8f3-46c7-afc2-72c3443ac4fd,Fact-Checking Journalist,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
0589b3ae-6d82-4c3e-8b8d-86cfe1225566,Water Treatment Operator,https://www.bls.gov/ooh/production/water-and-wastewater-treatment-plant-and-system-operators.htm,https://www.onetonline.org/link/summary/51-8031.00,51-8031.00,Water and Wastewater Treatment Plant and System Operators,auto
05d000ea-6f11-4b0c-ab8e-20ce49045390,Resale Authentication Startup Founder,https://www.bls.gov/ooh/management/top-executives.htm,https://www.onetonline.org/link/summary/11-1011.00,11-1011.00,Chief Executives,hand-verified
061974b6-85c3-42fb-a6d9-65f0c1c5bfae,Civil Engineer,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,https://www.onetonline.org/link/summary/17-2051.00,17-2051.00,Civil Engineers,auto
06dfa212-98be-4fa4-bcd7-3111936f6eea,Sports Physical Therapist,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,https://www.onetonline.org/link/summary/29-1123.00,29-1123.00,Physical Therapists,auto
07678c84-019f-41c1-94da-8d31611beedf,Social Media Content Creator (News),https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
0774e904-0de5-4240-8294-67b894f922f8,Actuarial Science Consultant,https://www.bls.gov/ooh/math/actuaries.htm,https://www.onetonline.org/link/summary/15-2011.00,15-2011.00,Actuaries,auto
0776498e-ec5c-42d6-851f-1e653118217a,Book Editor (Publishing),https://www.bls.gov/ooh/media-and-communication/editors.htm,https://www.onetonline.org/link/summary/27-3041.00,27-3041.00,Editors,auto
07ea5fd1-52a8-46cc-b5e0-3788fcf0f68e,Data Analyst,https://www.bls.gov/ooh/math/statisticians.htm,https://www.onetonline.org/link/summary/15-2041.00,15-2041.00,Statisticians,auto
083620be-f921-457e-a60d-c38ca45106a6,News Photographer,https://www.bls.gov/ooh/media-and-communication/photographers.htm,https://www.onetonline.org/link/summary/27-4021.00,27-4021.00,Photographers,auto
08931235-d01a-4107-b931-079d2ca9334c,Digital Magazine Editor,https://www.bls.gov/ooh/media-and-communication/editors.htm,https://www.onetonline.org/link/summary/27-3041.00,27-3041.00,Editors,auto
089946f2-1cb8-460a-a01a-4e0c64b1e8e0,Data Journalism Reporter,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
08dda6f7-8bfe-416b-8a7c-cf48b5b0688a,Science Writer,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,https://www.onetonline.org/link/summary/27-3043.00,27-3043.00,Writers and Authors,auto
090531aa-7b21-4a22-bb7b-ba98e9ec3ce8,Tour Guide,https://www.bls.gov/ooh/personal-care-and-service/tour-and-travel-guides.htm,https://www.onetonline.org/link/summary/39-7012.00,39-7012.00,Travel Guides,auto
09104511-5ac8-44e1-9c46-e28515cf26cb,Podcast Producer (News),https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,https://www.onetonline.org/link/summary/27-4012.00,27-4012.00,Broadcast Technicians,auto
09130ec2-bb45-4968-80ad-724edd6a37d9,Theater Director,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,https://www.onetonline.org/link/summary/27-2012.00,27-2012.00,Producers and Directors,auto
09257a56-b78f-49c2-a5e1-67d1e9ccd55a,Resort Facilities Manager,https://www.bls.gov/ooh/management/administrative-services-managers.htm,https://www.onetonline.org/link/summary/11-3012.00,11-3012.00,Administrative Services Managers,auto
09bcf50c-9366-4628-82db-8023d2f66f6f,Entertainment Reporter,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
09c20fb1-3b21-47bb-af5a-8baca06a386d,Circular Economy Manager,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,https://www.onetonline.org/link/summary/13-1111.00,13-1111.00,Management Analysts,auto
0a114023-56db-4151-adf6-c895cb603995,Content Editor,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
0a361d95-0cea-40e5-aa56-f82c0a21b8b3,Wind Turbine Technician,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,https://www.onetonline.org/link/summary/49-9081.00,49-9081.00,Wind Turbine Service Technicians,auto
0a92a938-9fe3-4c47-a18f-fce4a96110c1,STEM Education Developer,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,https://www.onetonline.org/link/summary/25-9031.00,25-9031.00,Instructional Coordinators,auto
0a9cce28-6f5d-4ada-85b6-21eb7e86dd96,Environmental Lawyer,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
0ac9e72f-bb1e-43a6-ba11-f014c56c934c,Frontend Developer,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,https://www.onetonline.org/link/summary/15-1254.00,15-1254.00,Web Developers,auto
0b67d2e9-ba65-49e1-a20f-c0302aa7624f,Video Editor,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,https://www.onetonline.org/link/summary/27-4012.00,27-4012.00,Broadcast Technicians,auto
0b7e2dbc-dc43-4576-8173-6ba80d1c982e,Social Worker (Child Welfare),https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,https://www.onetonline.org/link/summary/21-1029.00,21-1029.00,"Social Workers, All Other",auto
0c028b17-a4a7-43c3-9280-6b7ec404b9c3,Special Education Technician,https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,https://www.onetonline.org/link/summary/25-2059.00,25-2059.00,"Special Education Teachers, All Other",auto
0c20c515-f7a4-4841-8a2b-27d39d5cf5b7,Acting Coach,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,https://www.onetonline.org/link/summary/27-2011.00,27-2011.00,Actors,auto
0cbd57e2-90fa-4127-b60f-550746664e55,University Instructor (Part-Time),https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,https://www.onetonline.org/link/summary/25-1199.00,25-1199.00,"Postsecondary Teachers, All Other",auto
0d23709e-0f2a-468f-a143-19f3fdb99cad,Firmware Engineer,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,https://www.onetonline.org/link/summary/15-1252.00,15-1252.00,Software Developers,auto
0d39586a-311b-4054-b107-6c6e9371d6d4,Antitrust Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
0d48d8e0-65c2-4d97-8718-f8f5cd47f761,Video Game Journalist,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
0d6f4900-1b14-47e4-923c-0a80a10fb022,News Operations Director,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,https://www.onetonline.org/link/summary/27-4012.00,27-4012.00,Broadcast Technicians,auto
0da8aa7c-6128-423f-9408-19983e99a53e,Radiation Therapist,https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,https://www.onetonline.org/link/summary/29-1124.00,29-1124.00,Radiation Therapists,auto
0ddc9066-979c-4fa7-84e7-220ce828da3f,Environmental Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
0df06fc1-66da-440f-8949-3eebb97794e4,Waste Management Engineer,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,https://www.onetonline.org/link/summary/17-2081.00,17-2081.00,Environmental Engineers,auto
0e28f936-5467-4feb-9861-40594edf0abf,Tech Entrepreneur,https://www.bls.gov/ooh/management/top-executives.htm,https://www.onetonline.org/link/summary/11-1011.00,11-1011.00,Chief Executives,hand-verified
0e7002fa-b9ef-45ac-b204-ee738e9ca537,Human Rights Officer,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
0eb83a9d-cb38-445d-b7b0-fb9ba8b060f9,Aerospace Engineer,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,https://www.onetonline.org/link/summary/17-2011.00,17-2011.00,Aerospace Engineers,auto
0f32b7b2-f4d1-4876-b57f-f00ff545591f,Instructional Coordinator,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,https://www.onetonline.org/link/summary/25-9031.00,25-9031.00,Instructional Coordinators,auto
0fc6b6e0-877a-4bb4-8077-3589731e172d,Sustainable Dye Chemist,https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,https://www.onetonline.org/link/summary/19-2031.00,19-2031.00,Chemists,auto
0fe9c922-6a0e-4cb8-81d5-edb45dd18b13,Tax Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
106f5610-6b70-4a43-95f2-8fca5c870b2a,Rehabilitation Counselor,https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,https://www.onetonline.org/link/summary/21-1015.00,21-1015.00,Rehabilitation Counselors,auto
10a19992-5b7f-4845-9352-8c6b7badb731,Aesthetician,https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm,https://www.onetonline.org/link/summary/39-5094.00,39-5094.00,Skincare Specialists,auto
11229476-7970-4e67-90b4-38e7087649dd,Career Counselor (School),https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,https://www.onetonline.org/link/summary/21-1019.00,21-1019.00,"Counselors, All Other",auto
1227633e-1053-42a3-b9ea-d5111f237aa2,Guest Services Manager,https://www.bls.gov/ooh/management/administrative-services-managers.htm,https://www.onetonline.org/link/summary/11-3012.00,11-3012.00,Administrative Services Managers,auto
129996b1-dae7-47c1-bf01-59124bfa14aa,Renewable Energy Installer,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,https://www.onetonline.org/link/summary/47-2231.00,47-2231.00,Solar Photovoltaic Installers,auto
12e1de8c-f911-4512-811a-4746a82c64f6,Wetlands Scientist,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,https://www.onetonline.org/link/summary/19-2041.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",auto
13134fa7-2fb5-4ced-9243-c4925c0b90a0,EdTech Venture Founder,https://www.bls.gov/ooh/management/top-executives.htm,https://www.onetonline.org/link/summary/11-1011.00,11-1011.00,Chief Executives,hand-verified
133a7fb1-24d5-41b1-bc3a-173217ff22a2,Contract Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
13421aeb-9f0d-40be-97bb-67870dfe694d,Environmental Remediation Specialist,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,https://www.onetonline.org/link/summary/19-2041.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",auto
134e8756-7a12-4c9a-980d-44c611b29654,Circus Performer,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,https://www.onetonline.org/link/summary/27-2011.00,27-2011.00,Actors,auto
13600dd9-a21e-4b60-8793-6e3356a312d9,Language Immersion Coordinator,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,https://www.onetonline.org/link/summary/25-9031.00,25-9031.00,Instructional Coordinators,auto
139efc5b-1afd-45c0-8f8c-597e891cbbf6,Healthcare Startup Founder,https://www.bls.gov/ooh/management/top-executives.htm,https://www.onetonline.org/link/summary/11-1011.00,11-1011.00,Chief Executives,hand-verified
13a04493-7098-4108-9c72-9d02e84b0e9a,AI Consulting Startup Founder,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,https://www.onetonline.org/link/summary/13-1111.00,13-1111.00,Management Analysts,auto
13a7af24-d8b6-4e0d-94c6-baab9a31ab18,Environmental Engineer,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,https://www.onetonline.org/link/summary/17-2081.00,17-2081.00,Environmental Engineers,auto
13b60b43-a2ff-44a9-9b20-cfb804e35fa1,Proptech Startup Founder,https://www.bls.gov/ooh/management/top-executives.htm,https://www.onetonline.org/link/summary/11-1011.00,11-1011.00,Chief Executives,hand-verified
13c03f26-a986-45fc-bde1-979487327120,Consulting Solo Practitioner,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,https://www.onetonline.org/link/summary/13-1111.00,13-1111.00,Management Analysts,auto
14194f31-358e-40f5-94a7-44a3438ffad1,Corrections Officer,https://www.bls.gov/ooh/protective-service/correctional-officers.htm,https://www.onetonline.org/link/summary/21-1092.00,21-1092.00,Probation Officers and Correctional Treatment Specialists,auto
147e7358-d162-4c0c-ae72-e942d62684eb,Fact Checker (News Outlet),https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
1539cdc0-bd03-4a49-b0db-b61f321ec79a,Cirque du Soleil Acrobat,https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm,https://www.onetonline.org/link/summary/27-2031.00,27-2031.00,Dancers,auto
1548f630-7e12-4823-a246-c57cef83a61d,Policy Advisor (Federal),https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,https://www.onetonline.org/link/summary/13-1111.00,13-1111.00,Management Analysts,auto
1557afe6-9f89-4415-bb83-832aee27991b,Wetlands Consultant,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,https://www.onetonline.org/link/summary/19-2041.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",auto
160a619d-4500-49a2-86c0-ef54cf938546,Intellectual Property Paralegal,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm,https://www.onetonline.org/link/summary/23-2011.00,23-2011.00,Paralegals and Legal Assistants,auto
16c81c55-3d96-4bd7-adc3-d4b4cf6ebb42,Technical Writer (Science/Tech),https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,https://www.onetonline.org/link/summary/27-3042.00,27-3042.00,Technical Writers,auto
16cb58c5-0afa-4ea1-bfe2-6694672e9648,Robotics Systems Engineer,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,https://www.onetonline.org/link/summary/17-2071.00,17-2071.00,Electrical Engineers,auto
16d82ffc-426a-4872-bcb3-e215feec3d9c,Data Pipeline Engineer,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,https://www.onetonline.org/link/summary/15-1252.00,15-1252.00,Software Developers,auto
16ec6c34-bfae-44e1-bd09-91f766501c5b,English Language Learner (ESL) Teacher,https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,https://www.onetonline.org/link/summary/25-2031.00,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",hand-verified
176faa89-171e-4657-a319-c520d0b3a320,Environmental Compliance Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
17826ec0-e7a0-4490-991e-c9736c5201c3,Coastal Zone Manager,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,https://www.onetonline.org/link/summary/19-2041.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",auto
1787dd22-62af-4f10-b43d-4dd6be9c0b69,Fact Checker (News Organization),https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
17c8c85a-4f03-4ad5-a433-f2ef48514dc5,Counterfeiting Investigator,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,https://www.onetonline.org/link/summary/33-3051.00,33-3051.00,Police and Sheriff's Patrol Officers,hand-verified
1812ee11-d3e0-4042-a7bb-57720b706dd6,SaaS Metrics Specialist Founder,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,https://www.onetonline.org/link/summary/13-1111.00,13-1111.00,Management Analysts,auto
185d0df4-690d-4714-ab75-fbd2931ea2e4,Fact-Checker (Journalism),https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
18be9e47-fa5d-4826-9ee7-943236195a2f,Landscape Architect,https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,https://www.onetonline.org/link/summary/17-1012.00,17-1012.00,Landscape Architects,auto
194c0280-d417-4860-90e2-9f3ab0ac0077,Water Treatment Plant Operator,https://www.bls.gov/ooh/production/water-and-wastewater-treatment-plant-and-system-operators.htm,https://www.onetonline.org/link/summary/51-8031.00,51-8031.00,Water and Wastewater Treatment Plant and System Operators,auto
19961b34-7d19-42b7-bbd2-c4ea9c895c56,Chemist (Organic),https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,https://www.onetonline.org/link/summary/19-2031.00,19-2031.00,Chemists,auto
199a1ed2-197b-48b6-9d6f-255447ccb5dd,IT Support Technician,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,https://www.onetonline.org/link/summary/15-1231.00,15-1231.00,Computer Network Support Specialists,auto
19b6beff-af08-453c-b2d6-65c041f50a7d,Restaurant Entrepreneur,https://www.bls.gov/ooh/management/top-executives.htm,https://www.onetonline.org/link/summary/11-1011.00,11-1011.00,Chief Executives,hand-verified
19fddce2-ec72-4cb6-92a2-adf1633118ea,Physics Researcher,https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,https://www.onetonline.org/link/summary/19-2011.00,19-2011.00,Astronomers,auto
1a04432b-2be1-44df-916b-c57d21689499,Orchestra Conductor,https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm,https://www.onetonline.org/link/summary/27-2041.00,27-2041.00,Music Directors and Composers,auto
1a4f0804-8973-43da-85b1-61e42ff3fd98,Sustainable Materials Engineer,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,https://www.onetonline.org/link/summary/17-2131.00,17-2131.00,Materials Engineers,auto
1a5eb0d0-855f-4c7a-8211-9ae6393eb45a,Tax Law Specialist,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
1afc299e-dca4-4a04-97ad-ac7948532977,Research Physician,https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,https://www.onetonline.org/link/summary/19-1042.00,19-1042.00,"Medical Scientists, Except Epidemiologists",auto
1b385832-7b76-45f0-8238-d100b094f868,Forest Ecologist,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,https://www.onetonline.org/link/summary/19-2041.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",auto
1b4dad65-5095-48eb-8e0b-5738ebb999c5,Social Media Manager (News Org),https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
1b941b2f-e048-42d7-9004-8a000f94ed98,Payment Systems Architect,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,https://www.onetonline.org/link/summary/15-1252.00,15-1252.00,Software Developers,auto
1bc141eb-7ffe-403f-9c99-bab1163d839f,Platform Engineer,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,https://www.onetonline.org/link/summary/15-1252.00,15-1252.00,Software Developers,auto
1bc77b02-628c-4652-87db-95af96ad3636,Privacy Counsel (Data Protection),https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
1bcf8f14-0e12-4cac-825f-4eee7a6546e2,Interactive Reporter (Immersive Journalism),https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
1c110c3e-b623-4306-b8da-01f0d5be645c,Intellectual Property Examiner,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,https://www.onetonline.org/link/summary/23-1021.00,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",auto
1c896db8-9232-4241-8efc-6c5d1883931f,Labor Relations Specialist,https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,https://www.onetonline.org/link/summary/13-1071.00,13-1071.00,Human Resources Specialists,auto
1d3cf0cb-d2ee-48e8-a84c-1dadf698ef98,Regulatory Compliance Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
1d3fb744-9d9b-4a26-a1e3-b2a22e090bcf,Compliance Lawyer,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
1d509249-fe4d-4c09-a1b9-809e8607552e,Business Development Manager,https://www.bls.gov/ooh/management/administrative-services-managers.htm,https://www.onetonline.org/link/summary/11-3012.00,11-3012.00,Administrative Services Managers,auto
1daf50ee-fd62-47e0-a99b-5979c2cf63ec,Case Manager,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,https://www.onetonline.org/link/summary/21-1093.00,21-1093.00,Social and Human Service Assistants,auto
