n,career,industry,cited_code,cited_occupation,verdict,suggested_code,reason
30,Compliance and Ethics Officer,Law & Government,13-1041.00,Compliance Officers,MATCH,,
31,Experience Architect (UX),Design & Creative,27-1014.00,Special Effects Artists and Animators,MISMATCH,15-1255.00,UX architect cited as Special Effects Artists and Animators
32,Fashion Tech Designer,Fashion & Beauty,27-1021.00,Commercial and Industrial Designers,CLOSE,27-1022.00,Fashion Designers is closer than Commercial/Industrial
33,Forensic Linguistics Expert,Cybersecurity,19-4061.00,Social Science Research Assistants,MISMATCH,19-3099.00,forensic linguist cited as a Research Assistant
34,Professional Athlete,Sports & Fitness,27-2021.00,Athletes and Sports Competitors,MATCH,,
35,Legislative Advocate,Law & Government,11-1021.00,General and Operations Managers,MISMATCH,11-2032.00,MY OWN fallback: 'advocate' swept into General and Operations Managers
36,Customer Data Platform Manager,Tech & Engineering,15-1242.00,Database Administrators,CLOSE,,data platform work maps to DBA defensibly
37,Service Design Manager,Design & Creative,27-1027.00,Set and Exhibit Designers,MISMATCH,15-1255.00,service design cited as Set and Exhibit Designers
38,Social Entrepreneur (Mission-Driven),Social Impact & Nonprofit,11-1011.00,Chief Executives,CLOSE,,"entrepreneur on Chief Executives, kept deliberately"
39,Behavioral Economist,Business & Finance,19-3094.00,Political Scientists,MISMATCH,19-3011.00,a behavioural economist cited as a Political Scientist
40,Forest Ecologist,Environment & Sustainability,19-2041.00,"Environmental Scientists and Specialists, Including Health",CLOSE,19-1032.00,Foresters is closer for a forest ecologist
41,Social Media Manager (Agency),Media & Journalism,27-3031.00,Public Relations Specialists,CLOSE,11-2021.00,social media manager to PR specialist is conventional
42,Animation Director (Stop Motion),Design & Creative,27-2012.00,Producers and Directors,CLOSE,27-1014.00,animation arguably belongs with animators
43,Wig Specialist,Fashion & Beauty,39-5092.00,Manicurists and Pedicurists,MISMATCH,39-5091.00,wig specialist cited as Manicurists and Pedicurists
44,Carbon Offset Auditor,Environment & Sustainability,13-1041.07,Regulatory Affairs Specialists,CLOSE,,auditing carbon claims as regulatory affairs is defensible
45,Strength Training Programmer,Sports & Fitness,39-9031.00,Exercise Trainers and Group Fitness Instructors,MATCH,,
46,Sommelier (Hotel/Event),Hospitality & Events,35-1011.00,Chefs and Head Cooks,MISMATCH,35-1012.00,"a sommelier cited as Chefs and Head Cooks; beverage service, not cooking"
47,Eyebrow Technician (Microblading Specialist),Fashion & Beauty,39-5092.00,Manicurists and Pedicurists,CLOSE,39-5094.00,Skincare Specialists is closer for microblading
48,Cross-Country Ski Instructor,Sports & Fitness,39-3021.00,Motion Picture Projectionists,MISMATCH,27-2022.00,ski instructor cited as Motion Picture Projectionists
49,Copyright Researcher,Media & Journalism,23-2011.00,Paralegals and Legal Assistants,MATCH,,
50,Yoga Studio Owner,Sports & Fitness,11-3051.00,Industrial Production Managers,MISMATCH,11-1011.00,studio owner cited as Industrial Production Managers
