career,industry,listed_salary,floor_k,ceil_k,issue
Otolaryngologist (ENT),Healthcare & Medicine,$0–$500k+,0,500,zero floor
Pediatric Surgeon,Healthcare & Medicine,$0–$500k+,0,500,zero floor
Radiologist,Healthcare & Medicine,$0–$500k+,0,500,zero floor
Surgeon,Healthcare & Medicine,$0–$500k+,0,500,zero floor
Surgeon (Orthopedic),Healthcare & Medicine,$0–$500k+,0,500,zero floor
DTC Brand Founder,Marketing & Communications,$0–$500k+,0,500,zero floor
Direct-to-Consumer Brand Founder,Marketing & Communications,$0–$500k+,0,500,zero floor
Social Media Influencer Entrepreneur,Marketing & Communications,$0–$500k+,0,500,zero floor
TikTok Content Creator,Media & Journalism,$0–$500k+,0,500,zero floor
Boxer (Professional),Sports & Fitness,$0–$500k+,0,500,zero floor
Orthopedic Sports Medicine Physician,Sports & Fitness,$0–$500k+,0,500,zero floor
