rarity_score,shared_title_terms,desc_similarity,career_a,primary_a,secondary_a,career_b,primary_b,secondary_b,salary_a,salary_b
17.54,fashion fit model,0.054,Fashion Fit Model Coordinator,Fashion & Beauty,"Hospitality & Events,Design & Creative",Fashion Fit Model,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$35k–$65k,$25k–$80k
17.54,fashion fit model,0.079,Fashion Fit Model Coordinator,Fashion & Beauty,"Hospitality & Events,Design & Creative",Fashion Fit Model Consultant,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$35k–$65k,$35k–$65k
17.42,decorator film set,0.125,Set Decorator (Film & TV),Supply Chain & Operations,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Set Decorator (Film & Television),Design & Creative,"Arts & Performance,Hospitality & Events",$40k–$75k,$35k–$75k
17.39,assurance quality tester,0.029,Quality Assurance Automation Tester,Tech & Engineering,"Business & Finance,Science & Research",Cosmetics Quality Assurance Tester,Fashion & Beauty,"Science & Research,Healthcare & Medicine",$60k–$95k,$42k–$70k
17.39,assurance quality tester,0.029,Cosmetics Quality Assurance Tester,Fashion & Beauty,"Science & Research,Healthcare & Medicine",Quality Assurance Tester (Software),Tech & Engineering,"Business & Finance,Science & Research",$42k–$70k,$55k–$90k
17.39,assurance quality tester,0.079,Cosmetics Quality Assurance Tester,Fashion & Beauty,"Science & Research,Healthcare & Medicine",Quality Assurance Tester,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$42k–$70k,$45k–$85k
17.37,authenticator goods luxury,0.219,Luxury Goods Authenticator,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Luxury Goods Authenticator (Business),Entrepreneurship,"Fashion & Beauty,Business & Finance",$45k–$75k,$45k–$95k
17.07,book editor publishing,0.13,Book Editor (Publishing),Media & Journalism,"Education & Coaching,Design & Creative",Book Editor (Trade Publishing),Science & Research,"Healthcare & Medicine,Tech & Engineering",$45k–$75k,$45k–$70k
17.07,book editor publishing,0.421,Book Editor (Trade Publishing),Science & Research,"Healthcare & Medicine,Tech & Engineering",Book Editor (Publishing House),Media & Journalism,"Design & Creative,Education & Coaching",$45k–$70k,$45k–$75k
17.0,dietitian registered sports,0.294,Registered Dietitian (Sports Nutrition),Healthcare & Medicine,"Sports & Fitness,Education & Coaching",Sports Registered Dietitian,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$48k–$77k,$45k–$75k
17.0,dietitian registered sports,0.312,Sports Nutrition Registered Dietitian,Healthcare & Medicine,"Sports & Fitness,Education & Coaching",Sports Registered Dietitian,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",$58k–$95k,$45k–$75k
16.98,biologist conservation marine,0.233,Marine Biologist (Conservation),Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",Marine Biologist (Ocean Conservation),Environment & Sustainability,"Science & Research,Law & Government",$45k–$75k,$45k–$75k
16.86,company destination management,0.25,Destination Management Company Manager,Hospitality & Events,"Business & Finance,Entrepreneurship",Destination Management Company Owner,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$42k–$70k,$45k–$85k
16.86,company destination management,0.762,Destination Management Company Operator,Hospitality & Events,"Business & Finance,Entrepreneurship",Destination Management Company Owner,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$85k
16.86,company destination management,0.182,Destination Management Company Owner,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Destination Management Company (DMC) Owner,Hospitality & Events,"Business & Finance,Entrepreneurship",$45k–$85k,$45k–$85k
16.86,company destination management,0.583,Destination Management Company Owner,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Destination Management Company Director,Hospitality & Events,"Business & Finance,Entrepreneurship",$45k–$85k,$48k–$77k
16.67,college high school,0.026,Volleyball Coach (College/High School),Sports & Fitness,"Education & Coaching,Social Impact & Nonprofit",Athletic Director (High School/College),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$35k–$70k,$45k–$85k
16.64,health occupational safety,0.105,Occupational Health and Safety Engineer,Tech & Engineering,"Law & Government,Science & Research",Occupational Health and Safety Specialist,Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",$60k–$105k,$62k–$98k
16.64,health occupational safety,0.143,Occupational Health and Safety Specialist,Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",Occupational Health & Safety Specialist,Tech & Engineering,"Law & Government,Healthcare & Medicine",$62k–$98k,$62k–$98k
16.64,athletic high school,0.026,Athletic Director (High School/College),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Athletic Trainer (High School),Sports & Fitness,"Education & Coaching,Healthcare & Medicine",$45k–$85k,$35k–$55k
16.59,agent estate real,0.059,Title Agent (Real Estate Legal Services),Law & Government,Business & Finance,Residential Real Estate Agent,Entrepreneurship,"Business & Finance,Tech & Engineering",$45k–$75k,$45k–$105k
16.47,commercial estate real,0.091,Commercial Real Estate Lender,Business & Finance,"Entrepreneurship,Law & Government",Commercial Real Estate Appraiser,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$65k–$120k,$52k–$95k
16.47,commercial estate real,0.143,Commercial Real Estate Lender,Business & Finance,"Entrepreneurship,Law & Government",Commercial Real Estate Analyst,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",$65k–$120k,$60k–$95k
16.47,commercial estate real,0.027,Commercial Real Estate Appraiser,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Commercial Real Estate Leasing Agent,Business & Finance,"Entrepreneurship,Law & Government",$52k–$95k,$50k–$95k
16.47,commercial estate real,0.049,Commercial Real Estate Appraiser,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Loan Officer (Commercial Real Estate),Business & Finance,"Law & Government,Entrepreneurship",$52k–$95k,$65k–$120k
16.47,commercial estate real,0.056,Commercial Real Estate Leasing Agent,Business & Finance,"Entrepreneurship,Law & Government",Commercial Real Estate Analyst,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",$50k–$95k,$60k–$95k
16.47,commercial estate real,0.162,Loan Officer (Commercial Real Estate),Business & Finance,"Law & Government,Entrepreneurship",Commercial Real Estate Analyst,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",$65k–$120k,$60k–$95k
16.47,commercial estate real,0.0,Commercial Real Estate Analyst,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",Commercial Real Estate Broker,Tech & Engineering,"Business & Finance,Design & Creative,Architecture & Urban Planning",$60k–$95k,$65k–$150k
16.44,class fitness instructor,0.267,Fitness Class Instructor (Specialty),Sports & Fitness,"Education & Coaching,Hospitality & Events",Fitness Class Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$35k–$65k,$35k–$65k
16.44,class fitness instructor,0.31,Fitness Class Instructor (Group),Sports & Fitness,"Education & Coaching,Hospitality & Events",Fitness Class Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$28k–$55k,$35k–$65k
16.44,class fitness instructor,0.3,Fitness Class Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Fitness Class Instructor (Specialized),Sports & Fitness,"Education & Coaching,Healthcare & Medicine",$35k–$65k,$35k–$65k
16.44,athletic certified trainer,0.276,Certified Athletic Trainer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Athletic Trainer (Certified),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$32k–$65k,$48k–$77k
16.43,brand builder influencer,0.333,Niche Influencer Brand Builder,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Micro-Influencer Brand Builder,Entrepreneurship,"Media & Journalism,Design & Creative",$20k–$150k,$35k–$85k
16.35,content creator youtube,0.182,Content Creator (YouTube),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Beauty Content Creator (TikTok/YouTube),Fashion & Beauty,"Entrepreneurship,Media & Journalism",$20k–$150k,$20k–$150k
16.35,content creator tiktok,0.296,TikTok Content Creator,Media & Journalism,"Design & Creative,Entrepreneurship",Content Creator (YouTube/TikTok),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$0–$500k+,$30k–$200k+
16.33,diligence due,0.147,Due Diligence Analyst,Arts & Performance,"Media & Journalism,Design & Creative,Science & Research",Environmental Due Diligence Specialist,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",$60k–$95k,$65k–$110k
16.33,bed breakfast,0.448,Bed and Breakfast Owner,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Bed & Breakfast Owner,Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",$35k–$75k,$35k–$75k
16.22,device medical sales,0.29,Medical Device Sales Engineer,Healthcare & Medicine,"Business & Finance,Tech & Engineering",Medical Device Sales Representative,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",$60k–$120k,$45k–$120k
16.22,device medical sales,0.222,Medical Device Sales Rep,Healthcare & Medicine,"Business & Finance,Science & Research",Medical Device Sales Representative,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",$55k–$120k,$45k–$120k
16.22,device medical sales,0.652,Medical Device Sales Representative,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Medical Device Sales Specialist,Healthcare & Medicine,"Business & Finance,Science & Research",$45k–$120k,$45k–$120k
16.09,career counselor school,0.28,Career Counselor (School),Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Social Impact & Nonprofit",High School Career Counselor,Education & Coaching,"Social Impact & Nonprofit,Business & Finance",$37k–$63k,$45k–$70k
16.03,learning machine operations,0.56,AI/Machine Learning Operations Manager,Tech & Engineering,"Business & Finance,Science & Research",Machine Learning Operations Engineer,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",$80k–$160k,$85k–$150k
16.03,learning machine operations,0.727,Machine Learning Operations Manager,Tech & Engineering,"Business & Finance,Science & Research",Machine Learning Operations Engineer,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",$85k–$150k,$85k–$150k
16.03,chain supply sustainable,0.083,Sustainable Fashion Supply Chain Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Sustainable Supply Chain Startup Founder,Entrepreneurship,"Environment & Sustainability,Tech & Engineering",$60k–$95k,$45k–$150k
16.03,chain supply sustainable,0.1,Sustainable Supply Chain Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Sustainable Supply Chain Startup Founder,Entrepreneurship,"Environment & Sustainability,Tech & Engineering",$60k–$95k,$45k–$150k
15.92,inspector quality textile,0.667,Textile Quality Inspector,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Textile Quality Control Inspector,Fashion & Beauty,"Science & Research,Tech & Engineering",$30k–$45k,$30k–$45k
15.92,inspector quality textile,0.44,Textile Quality Assurance Inspector,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Textile Quality Control Inspector,Fashion & Beauty,"Science & Research,Tech & Engineering",$32k–$52k,$30k–$45k
15.9,live production streaming,0.184,Live Streaming Production Coordinator,Arts & Performance,"Tech & Engineering,Hospitality & Events",Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",$35k–$65k,$45k–$75k
15.85,fashion maker pattern,0.065,Fashion Pattern Maker (Grading),Fashion & Beauty,"Design & Creative,Tech & Engineering",Fashion Pattern Maker,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$75k,$45k–$75k
15.85,fashion maker pattern,0.057,Sustainable Fashion Pattern Maker,Fashion & Beauty,"Design & Creative,Environment & Sustainability",Fashion Pattern Maker,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$75k,$45k–$75k
15.85,fashion maker pattern,0.391,Fashion Pattern Maker,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Pattern Maker (Fashion),Fashion & Beauty,"Design & Creative,Entrepreneurship",$45k–$75k,$45k–$75k
15.8,chain startup supply,0.061,Supply Chain Startup Founder,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Sustainable Supply Chain Startup Founder,Entrepreneurship,"Environment & Sustainability,Tech & Engineering",$45k–$120k,$45k–$150k
15.63,disease infectious,0.032,Infectious Disease Epidemiologist,Healthcare & Medicine,"Science & Research,Law & Government",Infectious Disease Specialist,Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",$65k–$110k,$100k–$200k
15.54,mentorship program youth,0.2,Youth Mentorship Program Director,Social Impact & Nonprofit,"Education & Coaching,Law & Government",Youth Mentorship Program Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$37k–$63k,$37k–$63k
15.52,software technical writer,0.36,Technical Writer (Software),Science & Research,"Healthcare & Medicine,Tech & Engineering",Technical Writer (Software Documentation),Media & Journalism,"Tech & Engineering,Education & Coaching",$60k–$95k,$55k–$85k
15.52,artist capture performance,0.219,Performance Capture Cleanup Artist,Arts & Performance,"Tech & Engineering,Design & Creative",Performance Capture Artist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",$45k–$75k,$45k–$85k
15.51,growth hacker,0.167,Startup Growth Hacker,Entrepreneurship,"Tech & Engineering,Business & Finance",Growth Hacker,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",$45k–$120k,$55k–$130k
15.51,pricing transfer,0.162,Transfer Pricing Specialist,Arts & Performance,"Media & Journalism,Design & Creative,Science & Research",Transfer Pricing Analyst,Business & Finance,"Law & Government,Entrepreneurship",$70k–$150k,$65k–$110k
15.51,license plate,0.056,License Plate Recognition Software Startup Founder,Entrepreneurship,"Tech & Engineering,Business & Finance",License Plate Business Owner,Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",$0–$500k+,$40k–$120k
15.51,license plate,0.114,License Plate Business Owner,Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",License Plate Recognition Startup Founder,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",$40k–$120k,$0–$500k+
15.38,agency digital marketing,0.152,Digital Marketing Agency Founder,Entrepreneurship,"Business & Finance,Tech & Engineering",Digital Marketing Agency Owner,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$150k,$45k–$120k
15.38,agency digital marketing,0.161,Digital Marketing Agency Owner,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Agency Owner (Digital Marketing),Entrepreneurship,"Design & Creative,Business & Finance",$45k–$120k,$45k–$150k
15.36,medicine physician sports,0.348,Orthopedic Sports Medicine Physician,Sports & Fitness,"Healthcare & Medicine,Education & Coaching",Sports Medicine Physician,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",$0–$500k+,$100k–$200k
15.36,medicine physician sports,0.45,Orthopedic Sports Medicine Physician,Sports & Fitness,"Healthcare & Medicine,Education & Coaching",Occupational Sports Medicine Physician,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",$0–$500k+,$100k–$200k
15.36,medicine physician sports,0.737,Sports Medicine Physician,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Sports Medicine Physician Assistant,Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$100k–$200k,$95k–$150k
15.36,medicine physician sports,0.409,Occupational Sports Medicine Physician,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Sports Medicine Physician Assistant,Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$100k–$200k,$95k–$150k
15.32,app developer indie,0.219,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Indie App Developer,Entrepreneurship,"Tech & Engineering,Design & Creative",$20k–$150k,$20k–$150k
15.32,app developer indie,0.37,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",App Developer (Indie),Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",$20k–$150k,$20k–$150k
15.27,checker digital fact,0.172,Fact Checker (Digital Media),Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Fact-Checker (Digital News),Media & Journalism,"Law & Government,Tech & Engineering",$45k–$75k,$48k–$77k
15.23,counselor health mental,0.088,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Mental Health Crisis Counselor,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$48k–$72k,$30k–$50k
15.23,counselor health mental,0.265,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Youth Mental Health Counselor,Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$48k–$72k,$35k–$55k
15.23,counselor health mental,0.075,Mental Health Counselor,Aviation & Transportation,"Tech & Engineering,Science & Research,Healthcare & Medicine",Counselor (Mental Health),Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$48k–$72k,$48k–$77k
15.23,reliability site,0.22,Site Reliability Engineer (SRE),Tech & Engineering,"Business & Finance,Science & Research",Site Reliability Engineer,Hospitality & Events,"Food & Culinary,Marketing & Communications,Science & Research",$120k–$175k,$95k–$165k
15.23,amazon seller,0.061,Handmade Goods Seller (Etsy/Amazon),Entrepreneurship,"Design & Creative,Business & Finance",Amazon FBA Seller,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$25k–$80k,$20k–$150k
15.21,physical sports therapist,0.103,Sports Physical Therapist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports Medicine Physical Therapist,Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$70k–$100k,$60k–$95k
15.21,physical sports therapist,0.108,Sports Physical Therapist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Physical Therapist (Sports),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$70k–$100k,$60k–$95k
15.2,app entrepreneur mobile,0.3,Mobile App Developer Entrepreneur,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Mobile App Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",$50k–$150k,$20k–$150k
15.06,food franchise operator,0.333,Franchise Operator (Food Service),Entrepreneurship,"Business & Finance,Hospitality & Events",Franchise Operator (Food & Beverage),Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",$45k–$120k,$50k–$150k
15.06,saas service software,0.077,Software as a Service (SaaS) Developer,Entrepreneurship,"Business & Finance,Tech & Engineering,Science & Research",Software-as-a-Service (SaaS) Consultant,Arts & Performance,"Media & Journalism,Design & Creative,Architecture & Urban Planning",$70k–$150k,$65k–$120k
15.04,app developer mobile,0.172,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Mobile App Developer (iOS),Tech & Engineering,"Design & Creative,Business & Finance",$20k–$150k,$70k–$130k
15.04,app developer mobile,0.5,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Mobile App Developer Entrepreneur,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",$20k–$150k,$50k–$150k
15.04,app developer mobile,0.121,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Mobile App Developer (Health & Fitness),Tech & Engineering,"Healthcare & Medicine,Sports & Fitness",$20k–$150k,$70k–$130k
15.04,app developer mobile,0.182,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Mobile App Developer,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$20k–$150k,$70k–$130k
15.04,app developer mobile,0.444,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",App Developer (Mobile Startup),Entrepreneurship,"Tech & Engineering,Design & Creative",$20k–$150k,$60k–$120k
15.04,app developer mobile,0.161,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Mobile App Developer (iOS/Android),Aviation & Transportation,"Tech & Engineering,Science & Research,Architecture & Urban Planning",$20k–$150k,$70k–$150k
15.04,app developer mobile,0.111,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Mobile App Developer (Native),Tech & Engineering,"Design & Creative,Entrepreneurship",$20k–$150k,$70k–$150k
